DDPairs,index
Troglitazone_Sulfinpyrazone,0
Troglitazone_Losartan,1
Troglitazone_Tinidazole,2
Troglitazone_Efavirenz,3
Troglitazone_Taurocholic acid,4
Troglitazone_Loratadine,5
Troglitazone_Ofloxacin,6
Troglitazone_Ezetimibe,7
Troglitazone_Dipyridamole,8
Troglitazone_Spironolactone,9
Troglitazone_Sulfamethoxazole,10
Troglitazone_Cefaclor,11
Troglitazone_Cerivastatin,12
Troglitazone_Lovastatin,13
Troglitazone_Naproxen,14
Troglitazone_Telmisartan,15
Troglitazone_Terfenadine,16
Troglitazone_Diethylstilbestrol,17
Troglitazone_Nitrendipine,18
Troglitazone_Pitavastatin,19
Troglitazone_Benzbromarone,20
Troglitazone_Daunorubicin,21
Troglitazone_Pilsicainide,22
Troglitazone_Dihydroergocristine,23
Troglitazone_Ursodeoxycholic acid,24
Troglitazone_Pravastatin,25
Troglitazone_Flucloxacillin,26
Troglitazone_Nifedipine,27
Troglitazone_Atorvastatin,28
Troglitazone_Rosuvastatin,29
Troglitazone_Nefazodone,30
Troglitazone_Isradipine,31
Troglitazone_Fluorescein,32
Troglitazone_Disulfiram,33
Troglitazone_Rosiglitazone,34
Troglitazone_Simvastatin,35
Troglitazone_Fenofibrate,36
Troglitazone_Prasterone sulfate,37
Troglitazone_Cholic Acid,38
Troglitazone_Repaglinide,39
Troglitazone_Fluvoxamine,40
Troglitazone_Nitrofurantoin,41
Troglitazone_Indomethacin,42
Troglitazone_Imatinib,43
Troglitazone_Tipranavir,44
Troglitazone_Revefenacin,45
Troglitazone_Glycochenodeoxycholic Acid,46
Troglitazone_Ketoconazole,47
Troglitazone_Nelfinavir,48
Troglitazone_Diclofenac,49
Troglitazone_Indinavir,50
Troglitazone_Oxaprotiline,51
Troglitazone_Imipramine oxide,52
Troglitazone_Opipramol,53
Troglitazone_Amineptine,54
Troglitazone_Doxepin,55
Troglitazone_Dibenzepin,56
Troglitazone_Protriptyline,57
Troglitazone_Dimetacrine,58
Troglitazone_Imipramine,59
Troglitazone_Amitriptyline,60
Troglitazone_Tiratricol,61
Troglitazone_Iprindole,62
Troglitazone_Amoxapine,63
Troglitazone_Quinupramine,64
Troglitazone_Melitracen,65
Troglitazone_Desipramine,66
Troglitazone_Lofepramine,67
Troglitazone_Amitriptylinoxide,68
Troglitazone_Procaine,69
Troglitazone_GLPG-0492,70
Troglitazone_Nitroaspirin,71
Troglitazone_Guacetisal,72
